Title,Date,Keyword,Abstract
超强台风“玛莉亚”将登陆,2018年7月10日第13版<U+00A0> ,文章关键词：“玛莉亚”台风农业农村部,8号台风“玛莉亚”（超强台风级）目前正向我国沿海靠近，预计于7月10日夜到11日晨在台湾东北部沿海登陆，之后穿过台湾岛北部，于11日晨在福建中部沿海再次登陆。台风中心经过的风力可达12级至15级。国家
中华人民共和国和科威特国关于建立战略伙伴关系的联合声明,2018年7月10日第2版<U+00A0> ,文章关键词：战略埃米尔萨巴赫·艾哈迈德·贾合作,坚持不干涉内政的原则。科威特重申坚定奉行一个中国原则，台湾是中国领土不可分割的一部分，支持两岸关系和平发展和中国的和平统一大业，支持中国政府在台湾问题上的立场。　　五、强调自由、开放、稳定的海洋对两国
超强台风“玛莉亚”将来袭,2018年7月9日第14版<U+00A0> ,文章关键词：“玛莉亚”强台风沿海,莉亚”在西北太平洋洋面上生成后，于6日5时加强为超强台风，预计将于10日夜间至11日凌晨登陆或擦过台湾东北部，11日白天在福建中部到浙江南部沿海再次登陆，登陆后继续向西北方向移动，11日夜间至12日早
莫那·鲁道：胆识过人的抗日英雄（为了民族复兴·英雄烈士谱）,2018年7月7日第4版<U+00A0> ,文章关键词：莫那·鲁鲁道胆识过人,日电 （记者查文晔、陈君）在台湾南投县仁爱乡的雾社事件纪念公园里，静静矗立着一尊高大魁梧的人物石雕，为的是纪念台湾少数民族抗日英雄莫那·鲁道。　　甲午战争后，日本侵占台湾50年，宝岛各族同胞自发组织起
中国国民党前主席连战将率台湾各界人士来大陆参访,2018年7月7日第6版<U+00A0> ,文章关键词：访问大陆发言人,（记者冯学知）国台办发言人安峰山6日表示，中国国民党前主席、两岸和平发展基金会董事长连战先生将于7月12日至14日率台湾各界人士参访团来北京参访。此后，连战一行还将赴辽宁、吉林、浙江参访。
天津台博会开幕,2018年7月6日第4版<U+00A0> ,文章关键词：开幕商品博览会,　　7月5日上午，第十一届津台投资合作洽谈会暨2018年天津·台湾商品博览会在天津梅江会展中心拉开帷幕。　　图为市民正在展台咨询商品情况。　　本报记者　扎　西摄
图片报道,2018年7月5日第20版<U+00A0> ,文章关键词：天津外国语大学历史,　　7月2日，2018年台湾中华大学“中国近代史实境教学”活动在天津外国语大学拉开帷幕。来自台湾的32名师生在为期4天的活动中，在天津外国语大学师生的带领下，参观五大道、意风区、南开大学、天津大学等地
“友善采购” 暖心寓理（微言）,2018年7月5日第20版<U+00A0> ,文章关键词：“友善采购”大陆“两岸一家亲”,　　木　鸣　　“2018夏季台湾水果节”近日在北京丰台区开幕，凤梨、芒果等台湾水果吸引不少北京市民驻足。与此同时，一批凤梨也自台东装车运往江苏，以缓解今年台湾水果丰产滞销的问题。　　大陆民众对台湾水果不陌生。自2
把中华传统陶艺发扬光大（人生况味）,2018年7月5日第20版<U+00A0> ,文章关键词：陶艺何志隆大陆,作品展”在“瓷都”江西景德镇开幕。许多前来观展的人，都被青瓷上翡翠般的青釉所吸引。它的创作人，正是台湾陶艺师何志隆。　　孜孜以求 “翡翠”初成　　距台东市区约40分钟车程的泰源幽谷深处，有一座柴烧窑厂
汪洋分别会见台湾旺旺中时媒体集团访问团和台湾民意代表交流参访团,2018年7月4日第1版<U+00A0> ,文章关键词：台湾民意代表民意代表交流媒体集团,　　本报北京7月3日电　（记者李昌禹）中共中央政治局常委、全国政协主席汪洋3日下午在北京会见了蔡衍明董事长率领的台湾旺旺中时媒体集团访问团一行。　　汪洋指出，维护国家统一是民族大义，任何力量都不能阻挡。我们将坚定坚
武警部队跨军地改革按计划有序推进,2018年6月29日第11版<U+00A0> ,文章关键词：武警部队军地改革按计划有序,国务委员兼国防部长魏凤和邀请，美国国防部长马蒂斯访华。双方就国际地区形势、两国两军关系及朝鲜半岛、台湾、海上安全等共同关心的问题深入交换了意见，就下一步加强两军各层级交往、增进军事互信、深化务实合作、
中国与世界贸易组织,2018年6月29日第14版<U+00A0> ,文章关键词：世贸组织多边贸易体制体制,展，让不同国家、不同阶层、不同人群共享经济全球化的好处。　　①中国香港特别行政区、澳门特别行政区、台湾省均以单独关税区的身份在不同时间成为世界贸易组织成员，本白皮书不包括上述单独关税区与世界贸易组织的关系。　　（新华社北京6月28日电）
中国与世界贸易组织,2018年6月29日第15版<U+00A0> ,文章关键词：世贸组织多边贸易体制体制,展，让不同国家、不同阶层、不同人群共享经济全球化的好处。　　①中国香港特别行政区、澳门特别行政区、台湾省均以单独关税区的身份在不同时间成为世界贸易组织成员，本白皮书不包括上述单独关税区与世界贸易组织的关系。　　（新华社北京6月28日电）
许其亮会见美国国防部长马蒂斯,2018年6月29日第3版<U+00A0> ,文章关键词：国防部长马马蒂斯中美关系,两国关系中的地位作用至关重要。我们有信心与中方共同努力，构建建设性两军关系。　　双方还就亚太形势、台湾、南海等问题深入交换了意见。
我国侦破四起特大海上毒品犯罪案件,2018年6月28日第11版<U+00A0> ,文章关键词：制贩犯罪中国,舰船，对“6·01”特大海上跨国走私毒品案，实施收网行动，共抓获陈某某（福建平潭人）、赵某某（中国台湾居民）等犯罪嫌疑人12名。在东海海域上海外海附近，成功拦截1艘运毒船，查缴冰毒1.5吨，查扣涉案汽
细分群体　精准交流（观沧海）,2018年6月28日第20版<U+00A0> ,文章关键词：交流细分群体大陆,带。生在高雄的中共十九大代表卢丽安曾说，爱大陆和爱台湾，就像爱自己的爸爸妈妈。对两岸婚生子女来说，这种感受更加深切。因为他们的父母，就是一方来自台湾、一方来自大陆。随着两岸人员往来频密，这一群体的人数
多彩民俗　节味浓浓（行走台湾）,2018年6月28日第20版<U+00A0> ,文章关键词：节味浓浓群众“南园”,民俗内容和形式，受到台湾民众的喜爱。台湾各地借端午求吉祥、祈平安，新旧民俗、大小活动密集登场，节味浓浓。　　特色民俗显活力　　由于早年开发台湾的先民所面对的是瘴疠丛生的环境，台湾不少民俗均与驱瘟除疫有
杨洁篪、魏凤和分别同美国国防部长会见会谈,2018年6月28日第3版<U+00A0> ,文章关键词：国防部长魏凤和会谈,中美关系重要组成部分，希望双方落实好两国元首共识，使两军关系成为中美关系的稳定因素。中方并阐明了在台湾、经贸、海上等问题上的原则立场。　　马蒂斯表示，美中两国拥有重要共同利益和合作基础。美方坚持一个中
推动“一国两制”成功实践行稳致远（深入学习贯彻习近平新时代中国特色社会主义思想）,2018年6月28日第7版<U+00A0> ,文章关键词：一国两制实践思想,论品格和实践伟力　　作为中国特色社会主义的重要组成部分，“一国两制”是中国共产党人为解决历史遗留的台湾、香港、澳门问题，实现祖国完全统一，把马克思主义基本原理同中国具体实际相结合的伟大创举。这一伟大创
两岸要交流、要合作民意不可阻挡,2018年6月28日第9版<U+00A0> ,文章关键词：合作交流马晓光,“31条惠台措施”落实情况。他介绍，很多省市因地制宜出台落地细则，其中不少措施已经产生实效，在支持台湾团体和人士参与大陆在海外举办的文化艺术活动、进一步推进落实台胞享受同等待遇、为台胞提供更多就职就业
